Müşteri Id,Quarter Start Date,cwg,Segment Score
181998881,2023-10-01,200,0.48624023339811
181998881,2024-01-01,600,1.4587207001943
181998881,2024-04-01,400,0.97248046679623
181998907,2022-10-01,200,0.48624023339811
181998907,2023-01-01,200,0.48624023339811
181999031,2023-04-01,200,0.48624023339811
181999031,2023-07-01,200,0.48624023339811
181999088,2023-04-01,600,1.4587207001943
181999088,2023-07-01,600,1.4587207001943
181999088,2023-10-01,600,1.4587207001943
181999088,2024-01-01,600,1.4587207001943
181999088,2024-04-01,400,0.97248046679623
181999120,2024-01-01,400,0.97248046679623
181999167,2022-10-01,400,0.97248046679623
181999214,2023-10-01,600,1.4587207001943
181999214,2024-01-01,200,0.48624023339811
181999215,2024-04-01,400,0.97248046679623
181999226,2023-07-01,200,0.48624023339811
181999226,2023-10-01,200,0.48624023339811
181999396,2023-01-01,400,0.97248046679623
181999414,2024-04-01,400,0.97248046679623
181999425,2022-10-01,600,1.4587207001943
181999425,2023-01-01,200,0.48624023339811
181999425,2023-04-01,600,1.4587207001943
181999425,2023-07-01,400,0.97248046679623
181999743,2024-01-01,200,0.48624023339811
181999743,2024-04-01,200,0.48624023339811
182000001,2023-07-01,400,0.97248046679623
182000015,2023-01-01,200,0.48624023339811
182000015,2023-04-01,600,1.4587207001943
182000015,2023-07-01,400,0.97248046679623
182000015,2023-10-01,400,0.97248046679623
182000015,2024-01-01,400,0.97248046679623
182000211,2022-10-01,600,1.4587207001943
182000211,2023-01-01,200,0.48624023339811
182000211,2023-04-01,600,1.4587207001943
182000211,2023-07-01,400,0.97248046679623
182000309,2024-01-01,200,0.48624023339811
182000309,2024-04-01,200,0.48624023339811
182000384,2023-01-01,400,0.97248046679623
182000401,2022-10-01,200,0.48624023339811
182000401,2023-01-01,200,0.48624023339811
182000401,2024-04-01,200,0.48624023339811
182000609,2023-01-01,600,1.4587207001943
182000609,2023-07-01,400,0.97248046679623
182000609,2023-10-01,600,1.4587207001943
182000609,2024-01-01,400,0.97248046679623
182000611,2022-10-01,600,1.4587207001943
182000642,2022-07-01,200,0.48624023339811
182000642,2022-10-01,200,0.48624023339811
182000746,2023-01-01,400,0.97248046679623
182000810,2022-10-01,400,0.97248046679623
182000977,2023-10-01,600,1.4587207001943
182000977,2024-01-01,600,1.4587207001943
182001054,2022-07-01,600,1.4587207001943
182001054,2022-10-01,600,1.4587207001943
182001054,2023-01-01,600,1.4587207001943
182001054,2023-04-01,400,0.97248046679623
182001054,2023-07-01,600,1.4587207001943
182001054,2023-10-01,600,1.4587207001943
182001054,2024-01-01,600,1.4587207001943
182001054,2024-04-01,200,0.48624023339811
182001107,2023-10-01,200,0.48624023339811
182001107,2024-01-01,200,0.48624023339811
182001146,2023-07-01,400,0.97248046679623
182001153,2022-07-01,600,1.4587207001943
182001176,2024-04-01,400,0.97248046679623
182001186,2022-10-01,400,0.97248046679623
182001186,2023-01-01,600,1.4587207001943
182001186,2023-04-01,600,1.4587207001943
182001235,2023-01-01,200,0.48624023339811
182001235,2023-04-01,600,1.4587207001943
182001235,2023-07-01,600,1.4587207001943
182001235,2024-01-01,600,1.4587207001943
182001235,2024-04-01,200,0.48624023339811
182001264,2022-10-01,600,1.4587207001943
182001264,2023-01-01,400,0.97248046679623
182001340,2023-01-01,600,1.4587207001943
182001679,2023-10-01,600,1.4587207001943
182001679,2024-01-01,400,0.97248046679623
182001679,2024-04-01,400,0.97248046679623
182001717,2024-01-01,600,1.4587207001943
182001719,2023-10-01,400,0.97248046679623
182001845,2023-01-01,400,0.97248046679623
182002049,2023-04-01,600,1.4587207001943
182002172,2023-10-01,600,1.4587207001943
182002277,2023-01-01,600,1.4587207001943
182002277,2023-04-01,400,0.97248046679623
182002284,2022-07-01,600,1.4587207001943
182002284,2022-10-01,200,0.48624023339811
182002587,2022-10-01,600,1.4587207001943
182002652,2023-10-01,400,0.97248046679623
182002658,2024-01-01,200,0.48624023339811
182002658,2024-04-01,200,0.48624023339811
182002729,2023-01-01,600,1.4587207001943
182002987,2023-04-01,200,0.48624023339811
182002987,2023-07-01,400,0.97248046679623
182002987,2023-10-01,600,1.4587207001943
182002987,2024-01-01,600,1.4587207001943
182002987,2024-04-01,200,0.48624023339811
182003114,2022-07-01,200,0.48624023339811
182003114,2022-10-01,200,0.48624023339811
182003229,2023-04-01,600,1.4587207001943
182003229,2023-07-01,600,1.4587207001943
182003325,2024-04-01,400,0.97248046679623
182003415,2022-10-01,200,0.48624023339811
182003415,2023-01-01,200,0.48624023339811
182003426,2023-07-01,600,1.4587207001943
182003426,2023-10-01,600,1.4587207001943
182003426,2024-01-01,600,1.4587207001943
182003426,2024-04-01,400,0.97248046679623
182003439,2022-10-01,600,1.4587207001943
182003439,2023-01-01,600,1.4587207001943
182003439,2023-04-01,400,0.97248046679623
182003439,2023-07-01,600,1.4587207001943
182003439,2023-10-01,200,0.48624023339811
182003486,2023-07-01,200,0.48624023339811
182003486,2023-10-01,600,1.4587207001943
182003486,2024-01-01,200,0.48624023339811
182003486,2024-04-01,200,0.48624023339811
182003510,2023-04-01,600,1.4587207001943
182003533,2023-10-01,600,1.4587207001943
182003569,2022-10-01,200,0.48624023339811
182003569,2023-01-01,200,0.48624023339811
182003642,2022-10-01,600,1.4587207001943
182003642,2023-01-01,600,1.4587207001943
182003642,2023-10-01,200,0.48624023339811
182003642,2024-01-01,600,1.4587207001943
182003660,2022-07-01,200,0.48624023339811
182003660,2022-10-01,200,0.48624023339811
182003660,2024-01-01,600,1.4587207001943
182003660,2024-04-01,200,0.48624023339811
182003773,2022-10-01,600,1.4587207001943
182003773,2023-01-01,200,0.48624023339811
182003773,2023-04-01,400,0.97248046679623
182003773,2023-07-01,600,1.4587207001943
182003773,2023-10-01,600,1.4587207001943
182003773,2024-01-01,200,0.48624023339811
182003799,2022-07-01,600,1.4587207001943
182003799,2023-10-01,400,0.97248046679623
182003799,2024-01-01,600,1.4587207001943
182003799,2024-04-01,200,0.48624023339811
182003823,2024-01-01,200,0.48624023339811
182003823,2024-04-01,400,0.97248046679623
182003902,2024-01-01,200,0.48624023339811
182003902,2024-04-01,400,0.97248046679623
182003948,2023-04-01,400,0.97248046679623
182003996,2023-01-01,400,0.97248046679623
182004006,2022-10-01,600,1.4587207001943
182004087,2022-07-01,200,0.48624023339811
182004087,2022-10-01,200,0.48624023339811
182004087,2024-01-01,600,1.4587207001943
182004087,2024-04-01,200,0.48624023339811
182004144,2022-07-01,600,1.4587207001943
182004144,2023-04-01,200,0.48624023339811
182004144,2023-07-01,600,1.4587207001943
182004144,2023-10-01,600,1.4587207001943
182004144,2024-01-01,600,1.4587207001943
182004144,2024-04-01,400,0.97248046679623
182004401,2022-07-01,600,1.4587207001943
182004401,2022-10-01,600,1.4587207001943
182004401,2023-01-01,400,0.97248046679623
182004401,2023-04-01,600,1.4587207001943
182004401,2023-07-01,200,0.48624023339811
182004505,2022-07-01,600,1.4587207001943
182004561,2022-07-01,600,1.4587207001943
182004561,2022-10-01,600,1.4587207001943
182004561,2023-01-01,600,1.4587207001943
182004609,2022-07-01,200,0.48624023339811
182004609,2022-10-01,600,1.4587207001943
182004609,2023-01-01,400,0.97248046679623
182004609,2023-04-01,400,0.97248046679623
182004609,2023-10-01,600,1.4587207001943
182004609,2024-01-01,400,0.97248046679623
182004609,2024-04-01,400,0.97248046679623
182004865,2023-01-01,600,1.4587207001943
182004909,2024-04-01,400,0.97248046679623
182004978,2022-07-01,600,1.4587207001943
182004978,2022-10-01,600,1.4587207001943
182004978,2023-01-01,600,1.4587207001943
182004978,2023-04-01,600,1.4587207001943
182004978,2023-07-01,600,1.4587207001943
182004978,2023-10-01,600,1.4587207001943
182004978,2024-01-01,600,1.4587207001943
182004978,2024-04-01,400,0.97248046679623
182005033,2023-07-01,200,0.48624023339811
182005033,2023-10-01,400,0.97248046679623
182005082,2023-04-01,400,0.97248046679623
182005116,2024-01-01,600,1.4587207001943
182005129,2022-10-01,200,0.48624023339811
182005129,2023-01-01,200,0.48624023339811
182005161,2023-07-01,600,1.4587207001943
182005161,2023-10-01,200,0.48624023339811
182005161,2024-01-01,400,0.97248046679623
182005161,2024-04-01,400,0.97248046679623
182005316,2022-07-01,600,1.4587207001943
182005316,2022-10-01,600,1.4587207001943
182005316,2023-01-01,600,1.4587207001943
182005316,2023-04-01,600,1.4587207001943
182005316,2023-07-01,600,1.4587207001943
182005316,2023-10-01,600,1.4587207001943
182005316,2024-01-01,600,1.4587207001943
182005316,2024-04-01,400,0.97248046679623
182005409,2022-10-01,600,1.4587207001943
182005409,2023-01-01,600,1.4587207001943
182005409,2024-04-01,400,0.97248046679623
182005436,2023-01-01,600,1.4587207001943
182005544,2022-07-01,600,1.4587207001943
182005544,2022-10-01,600,1.4587207001943
182005544,2023-01-01,400,0.97248046679623
182005554,2024-01-01,600,1.4587207001943
182005554,2024-04-01,400,0.97248046679623
182005625,2023-07-01,200,0.48624023339811
182005625,2023-10-01,400,0.97248046679623
182005831,2022-07-01,600,1.4587207001943
182005831,2022-10-01,600,1.4587207001943
182005831,2023-01-01,400,0.97248046679623
182005831,2023-04-01,400,0.97248046679623
182005831,2023-07-01,400,0.97248046679623
182005835,2024-04-01,400,0.97248046679623
182005951,2023-01-01,600,1.4587207001943
182005951,2023-04-01,400,0.97248046679623
182005951,2023-07-01,400,0.97248046679623
182005951,2023-10-01,400,0.97248046679623
182005951,2024-04-01,400,0.97248046679623
182005963,2023-07-01,200,0.48624023339811
182005963,2023-10-01,200,0.48624023339811
182006019,2022-07-01,200,0.48624023339811
182006019,2022-10-01,200,0.48624023339811
182006051,2023-07-01,400,0.97248046679623
182006066,2023-01-01,600,1.4587207001943
182006086,2022-07-01,200,0.48624023339811
182006086,2022-10-01,400,0.97248046679623
182006086,2023-10-01,400,0.97248046679623
182006086,2024-01-01,600,1.4587207001943
182006086,2024-04-01,400,0.97248046679623
182006244,2022-07-01,200,0.48624023339811
182006244,2022-10-01,600,1.4587207001943
182006244,2023-01-01,600,1.4587207001943
182006244,2023-04-01,200,0.48624023339811
182006294,2023-01-01,600,1.4587207001943
182006385,2023-10-01,200,0.48624023339811
182006385,2024-01-01,600,1.4587207001943
182006385,2024-04-01,200,0.48624023339811
182006816,2024-01-01,600,1.4587207001943
182006820,2022-07-01,200,0.48624023339811
182006820,2022-10-01,200,0.48624023339811
182006827,2023-01-01,600,1.4587207001943
182006905,2023-10-01,600,1.4587207001943
182006940,2023-01-01,600,1.4587207001943
182006940,2024-01-01,400,0.97248046679623
182006940,2024-04-01,400,0.97248046679623
182006948,2023-01-01,600,1.4587207001943
182006948,2023-04-01,600,1.4587207001943
182006948,2023-07-01,600,1.4587207001943
182006948,2023-10-01,200,0.48624023339811
182006948,2024-01-01,200,0.48624023339811
182006948,2024-04-01,400,0.97248046679623
182006961,2022-07-01,600,1.4587207001943
182006961,2023-04-01,200,0.48624023339811
182006961,2023-07-01,600,1.4587207001943
182006961,2024-04-01,400,0.97248046679623
182007054,2023-04-01,600,1.4587207001943
182007143,2024-01-01,400,0.97248046679623
182007163,2022-10-01,400,0.97248046679623
182007163,2023-01-01,200,0.48624023339811
182007163,2023-04-01,600,1.4587207001943
182007218,2023-01-01,600,1.4587207001943
182007218,2023-04-01,600,1.4587207001943
182007264,2022-10-01,200,0.48624023339811
182007264,2023-01-01,200,0.48624023339811
182007266,2022-10-01,600,1.4587207001943
182007266,2023-01-01,400,0.97248046679623
182007307,2023-01-01,600,1.4587207001943
182007307,2023-10-01,600,1.4587207001943
182007307,2024-01-01,400,0.97248046679623
182007307,2024-04-01,400,0.97248046679623
182007311,2023-07-01,600,1.4587207001943
182007311,2023-10-01,200,0.48624023339811
182007367,2023-04-01,600,1.4587207001943
182007367,2023-07-01,600,1.4587207001943
182007433,2023-01-01,200,0.48624023339811
182007433,2023-04-01,400,0.97248046679623
182007435,2022-10-01,400,0.97248046679623
182007443,2023-04-01,600,1.4587207001943
182007443,2023-10-01,600,1.4587207001943
182007443,2024-01-01,600,1.4587207001943
182007443,2024-04-01,200,0.48624023339811
182007506,2022-07-01,600,1.4587207001943
182007526,2022-10-01,200,0.48624023339811
182007526,2023-01-01,200,0.48624023339811
182007554,2022-10-01,600,1.4587207001943
182007554,2023-01-01,600,1.4587207001943
182007554,2023-04-01,600,1.4587207001943
182007554,2023-07-01,600,1.4587207001943
182007554,2023-10-01,600,1.4587207001943
182007554,2024-01-01,600,1.4587207001943
182007554,2024-04-01,400,0.97248046679623
182007571,2024-04-01,400,0.97248046679623
182007590,2022-10-01,400,0.97248046679623
182007629,2022-10-01,400,0.97248046679623
182007629,2023-01-01,200,0.48624023339811
182007629,2023-04-01,600,1.4587207001943
182007629,2023-07-01,600,1.4587207001943
182007695,2023-01-01,200,0.48624023339811
182007695,2023-04-01,200,0.48624023339811
182007700,2022-07-01,200,0.48624023339811
182007700,2022-10-01,600,1.4587207001943
182007700,2023-01-01,600,1.4587207001943
182007700,2023-04-01,200,0.48624023339811
182007700,2023-07-01,600,1.4587207001943
182007700,2023-10-01,400,0.97248046679623
182007700,2024-01-01,600,1.4587207001943
182007700,2024-04-01,400,0.97248046679623
182007708,2022-07-01,600,1.4587207001943
182007708,2023-01-01,600,1.4587207001943
182007708,2023-04-01,600,1.4587207001943
182007708,2023-07-01,600,1.4587207001943
182007729,2024-04-01,400,0.97248046679623
182007744,2022-10-01,600,1.4587207001943
182007744,2023-01-01,400,0.97248046679623
182007764,2023-10-01,200,0.48624023339811
182007764,2024-01-01,200,0.48624023339811
182008302,2023-10-01,400,0.97248046679623
182008316,2023-07-01,400,0.97248046679623
182008316,2023-10-01,400,0.97248046679623
182008316,2024-01-01,400,0.97248046679623
182008316,2024-04-01,400,0.97248046679623
182008327,2022-07-01,200,0.48624023339811
182008327,2022-10-01,600,1.4587207001943
182008327,2023-01-01,600,1.4587207001943
182008327,2023-04-01,600,1.4587207001943
182008327,2023-10-01,400,0.97248046679623
182008327,2024-01-01,600,1.4587207001943
182008536,2023-10-01,200,0.48624023339811
182008536,2024-01-01,400,0.97248046679623
182008536,2024-04-01,400,0.97248046679623
182008629,2023-01-01,600,1.4587207001943
182008657,2024-01-01,600,1.4587207001943
182008658,2024-01-01,200,0.48624023339811
182008658,2024-04-01,200,0.48624023339811
182008755,2023-01-01,600,1.4587207001943
182008755,2023-04-01,600,1.4587207001943
182008835,2022-07-01,600,1.4587207001943
182008835,2022-10-01,600,1.4587207001943
182008835,2023-01-01,200,0.48624023339811
182008835,2023-07-01,400,0.97248046679623
182008835,2023-10-01,600,1.4587207001943
182008855,2022-07-01,600,1.4587207001943
182008855,2023-04-01,600,1.4587207001943
182008855,2023-07-01,600,1.4587207001943
182008866,2022-10-01,600,1.4587207001943
182008866,2023-01-01,400,0.97248046679623
182008868,2022-10-01,400,0.97248046679623
182008868,2023-10-01,600,1.4587207001943
182008868,2024-01-01,200,0.48624023339811
182008961,2022-07-01,200,0.48624023339811
182008961,2022-10-01,600,1.4587207001943
182008961,2023-01-01,400,0.97248046679623
182008961,2023-04-01,600,1.4587207001943
182008961,2023-07-01,600,1.4587207001943
182008961,2023-10-01,600,1.4587207001943
182008968,2022-10-01,200,0.48624023339811
182008968,2023-01-01,200,0.48624023339811
182008981,2023-04-01,600,1.4587207001943
182009090,2022-07-01,600,1.4587207001943
182009090,2022-10-01,600,1.4587207001943
182009090,2023-01-01,600,1.4587207001943
182009090,2023-04-01,600,1.4587207001943
182009090,2023-07-01,400,0.97248046679623
182009090,2023-10-01,600,1.4587207001943
182009090,2024-01-01,600,1.4587207001943
182009090,2024-04-01,400,0.97248046679623
182009155,2022-07-01,600,1.4587207001943
182009155,2022-10-01,600,1.4587207001943
182009155,2023-01-01,600,1.4587207001943
182009155,2023-04-01,200,0.48624023339811
182009155,2023-10-01,600,1.4587207001943
182009155,2024-01-01,600,1.4587207001943
182009220,2023-01-01,200,0.48624023339811
182009220,2023-04-01,200,0.48624023339811
182009261,2022-07-01,600,1.4587207001943
182009261,2022-10-01,600,1.4587207001943
182009261,2023-01-01,200,0.48624023339811
182009261,2023-04-01,400,0.97248046679623
182009261,2023-07-01,600,1.4587207001943
182009261,2023-10-01,600,1.4587207001943
182009261,2024-01-01,600,1.4587207001943
182009261,2024-04-01,400,0.97248046679623
182009275,2022-07-01,600,1.4587207001943
182009353,2023-01-01,400,0.97248046679623
182009353,2023-04-01,600,1.4587207001943
182009353,2023-07-01,200,0.48624023339811
182009364,2022-10-01,600,1.4587207001943
182009364,2023-01-01,200,0.48624023339811
182009364,2023-04-01,200,0.48624023339811
182009364,2023-07-01,600,1.4587207001943
182009364,2023-10-01,600,1.4587207001943
182009364,2024-01-01,200,0.48624023339811
182009407,2022-10-01,400,0.97248046679623
182009410,2023-01-01,600,1.4587207001943
182009410,2023-04-01,600,1.4587207001943
182009441,2022-07-01,600,1.4587207001943
182009445,2023-07-01,200,0.48624023339811
182009445,2023-10-01,400,0.97248046679623
182009445,2024-01-01,600,1.4587207001943
182009474,2023-04-01,200,0.48624023339811
182009474,2023-07-01,200,0.48624023339811
182009626,2024-01-01,600,1.4587207001943
182009628,2024-04-01,400,0.97248046679623
182009648,2022-07-01,600,1.4587207001943
182009648,2022-10-01,600,1.4587207001943
182009652,2024-04-01,400,0.97248046679623
182009738,2023-07-01,400,0.97248046679623
182009785,2022-07-01,600,1.4587207001943
182009785,2022-10-01,600,1.4587207001943
182009785,2023-01-01,400,0.97248046679623
182009788,2022-07-01,600,1.4587207001943
182009788,2022-10-01,600,1.4587207001943
182009788,2023-01-01,600,1.4587207001943
182009788,2023-07-01,600,1.4587207001943
182009788,2023-10-01,600,1.4587207001943
182009788,2024-01-01,600,1.4587207001943
182009790,2022-07-01,600,1.4587207001943
182009795,2024-01-01,400,0.97248046679623
182009836,2023-04-01,600,1.4587207001943
182009865,2022-07-01,600,1.4587207001943
182009865,2022-10-01,400,0.97248046679623
182009876,2024-01-01,600,1.4587207001943
182009946,2022-07-01,200,0.48624023339811
182009946,2022-10-01,400,0.97248046679623
